"species","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","AUCratio","pROC","pval_pROC","TSS","algoritmo","run","partition","presencenb","absencenb","correlation","pvaluecor","threshold","prevalence.value","PPP","NPP","sensitivity.value","specificity.value","comission","omission","accuracy","KAPPA.value"
"Acianthera_sonderiana_C_020",0.01329268,0.01329268,0.01329268,0.01436352,0.0136344,0.0136344,0.816666666666667,1.63333333333333,1.48634086630982,0,0.745,"glm",2,1,3,200,0.0735449329233602,0.297042678631647,"spec_sens",0.0147783251231527,NA,0.985221674876847,NA,0.5,0.5,NA,0.5,0
"Acianthera_sonderiana_C_020",0.72250058,0.64637746,0.64638968,0.24417576,0.65623845,0.64879199,0.773333333333333,1.54666666666667,1.49723701013132,0,0.63,"maxent",2,1,3,200,0.0966679704060255,0.170058189459303,"spec_sens",0.0147783251231527,0.038961038961039,1,0.72992700729927,1,0,0.27007299270073,0.815,0.0479148181011535
"Acianthera_sonderiana_C_020",0.88216667,0.5561,0.5561,0.03746667,0.61973333,0.55733333,0.746666666666667,1.49333333333333,1.56467254108557,0,0.605,"rf",2,1,3,200,0.111458466369585,0.113382903047391,"spec_sens",0.0147783251231527,0.0365853658536585,1,0.716845878136201,1,0,0.283154121863799,0.8025,0.0433096701067825
"Acianthera_sonderiana_C_020",0.01272683,0.00814904,0.00816484,0.01292683,0.00833854,0.00833854,0.876666666666667,1.75333333333333,1.95075035827292,0,0.665,"svmk",2,1,3,200,0.157138111631944,0.0251574697915588,"spec_sens",0.0147783251231527,0.0428571428571429,1,0.749063670411985,1,0,0.250936329588015,0.8325,0.0554205153135631
"Acianthera_sonderiana_C_020",0.44434444,0.22212222,-1e-04,-1e-04,0.22212222,0.22212222,0.699166666666667,1.39833333333333,1.9544458972734,0,0.346666666666667,"bioclim",3,1,3,200,0.121640460025238,0.0838389606663467,"spec_sens",0.0147783251231527,0.0303030303030303,0.992700729927007,0.675675675675676,0.671052631578947,0.328947368421053,0.324324324324324,0.673333333333333,0.0305635148042024
"Acianthera_sonderiana_C_020",0.05345107,0.01365751,0.01365751,0.01467918,0.01386775,0.01386775,0.88,1.76,1.4861174858517,0,0.785,"glm",3,1,3,200,0.194014125369291,0.00554380861444183,"spec_sens",0.0147783251231527,NA,0.985221674876847,NA,0.5,0.5,NA,0.5,0
"Acianthera_sonderiana_C_020",0.79527505,0.67744644,0.67744644,0.4266965,0.67876382,0.67876382,0.903333333333333,1.80666666666667,1.54092943761535,0,0.81,"maxent",3,1,3,200,0.187647008822882,0.00734233083706918,"spec_sens",0.0147783251231527,0.0731707317073171,1,0.840336134453782,1,0,0.159663865546219,0.905,0.111904213677182
"Acianthera_sonderiana_C_020",0.90943333,0.66006667,0.66006667,0.0688,0.66006667,0.66213333,0.965,1.93,1.93833421353511,0,0.915,"rf",3,1,3,200,0.242951358960424,0.000478297456516433,"spec_sens",0.0147783251231527,0.15,1,0.921658986175115,1,0,0.0783410138248848,0.9575,0.241371730050561
"Acianthera_sonderiana_C_020",0.01137898,0.00960223,0.00426519,0.0147895,0.00534702,0.0043855,0.828333333333333,1.65666666666667,1.90323340752612,0,0.586666666666667,"svmk",3,1,3,200,0.147028144746212,0.0363239572028306,"spec_sens",0.0147783251231527,0.111111111111111,0.994594594594595,0.892857142857143,0.734042553191489,0.265957446808511,0.107142857142857,0.793333333333333,0.169434416365824
"Acianthera_sonderiana_C_020",-1e-04,-1e-04,-1e-04,-1e-04,0.22212222,0.22212222,0.4325,0.865,NA,NA,0,"bioclim",4,1,3,200,-0.0439011705462439,0.533986044311185,"spec_sens",0.0147783251231527,0.0147783251231527,NA,0.5,NA,NA,0.5,0.5,0
"Acianthera_sonderiana_C_020",0.02012935,0.02012935,0.00032288,0.01490614,0.00257144,0.00037899,0.326666666666667,0.653333333333333,1.41469697979602,0,0.203333333333333,"glm",4,1,3,200,-0.0272813705430691,0.699221665441004,"spec_sens",0.0147783251231527,NA,0.985221674876847,NA,0.5,0.5,NA,0.5,0
"Acianthera_sonderiana_C_020",0.67429109,0.67429109,0.05196554,0.01704754,0.18554989,0.05282657,0.333333333333333,0.666666666666667,1.39259000339052,0,0.208333333333333,"maxent",4,1,3,200,-0.0384336667469108,0.586155800161446,"spec_sens",0.0147783251231527,0.0384615384615385,0.988700564971751,0.727272727272727,0.567567567567568,0.432432432432432,0.272727272727273,0.604166666666667,0.0436224044669337
"Acianthera_sonderiana_C_020",0.81573333,0.09866667,0.09866667,0.02813333,0.14113333,0.10086667,0.459166666666667,0.918333333333333,1.30408686972496,0,0.245,"rf",4,1,3,200,-0.0153594842749859,0.827818370131984,"spec_sens",0.0147783251231527,0.0194805194805195,1,0.56980056980057,1,0,0.43019943019943,0.6225,0.00950011309658451
"Acianthera_sonderiana_C_020",0.00436321,0.00436321,0.00438411,0.0140709,0.00449053,0.00446851,0.488333333333333,0.976666666666667,1.16850017948242,0,0.39,"svmk",4,1,3,200,-0.00599768096440746,0.932319527734748,"spec_sens",0.0147783251231527,0.024,1,0.62111801242236,1,0,0.37888198757764,0.695,0.01854640564318
"Acianthera_sonderiana_C_050",0.26076957,0.26076957,-1e-04,-1e-04,0.08685652,0.08685652,0.585,1.17,1.97630706340089,0,0.141666666666667,"bioclim",1,1,6,200,0.0654243341876557,0.350147412536505,"spec_sens",0.029126213592233,0.166666666666667,0.975,0.869565217391304,0.539170506912442,0.460829493087558,0.130434782608696,0.570833333333333,0.141666666666666
"Acianthera_sonderiana_C_050",0.07329164,0.02397072,0.00115263,0.02886225,0.00860737,0.00116438,0.548333333333333,1.09666666666667,1.41310925886761,0,0.275,"glm",1,1,6,200,0.0630908732264792,0.367635002821348,"spec_sens",0.029126213592233,NA,0.970873786407767,NA,0.5,0.5,NA,0.5,0
"Acianthera_sonderiana_C_050",0.9857194,0.0362958,0.0150271,0.02928002,0.06150866,0.01544888,0.695833333333333,1.39166666666667,1.66213358449343,0,0.333333333333333,"maxent",1,1,6,200,0.128522006011148,0.0656133681059308,"spec_sens",0.029126213592233,0.0476190476190476,0.99009900990099,0.625,0.75,0.25,0.375,0.666666666666667,0.0370267518281958
"Acianthera_sonderiana_C_050",0.97393333,0.13733333,0.13733333,0.02926667,0.2526,0.13753333,0.72625,1.4525,1.33381585632055,0,0.5,"rf",1,1,6,200,0.112541156833897,0.107275376250988,"spec_sens",0.029126213592233,0.0566037735849057,1,0.666666666666667,1,0,0.333333333333333,0.75,0.055045871559633
"Acianthera_sonderiana_C_050",0.02635344,0.00556855,0.00561306,0.02655344,0.00917465,0.00573428,0.63,1.26,1.07122249881882,0,0.385,"svmk",1,1,6,200,0.117373305485071,0.0929212271253985,"spec_sens",0.029126213592233,0.0465116279069767,1,0.619195046439629,1,0,0.380804953560372,0.6925,0.0351839159241489
"Acianthera_sonderiana_C_050",0.26076957,0.26076957,-1e-04,-1e-04,0.08685652,0.08685652,0.60875,1.2175,1.99543302131786,0,0.298333333333333,"bioclim",2,1,6,200,0.181109247600925,0.00918289577487357,"spec_sens",0.029126213592233,0.222222222222222,0.979695431472081,0.904977375565611,0.591419816138917,0.408580183861083,0.0950226244343892,0.649166666666667,0.240107310529847
"Acianthera_sonderiana_C_050",0.01323377,0.00605081,0.00612027,0.02989331,0.0138388,0.00643853,0.721666666666667,1.44333333333333,1.48920717137997,0,0.52,"glm",2,1,6,200,-0.00781222539406053,0.911262731140353,"spec_sens",0.029126213592233,NA,0.970873786407767,NA,0.5,0.5,NA,0.5,0
