"species","algoritmo","AUC","TSS","pROC","omission"
"Codonanthe_devosiana_N_050","bioclim",0.820625,0.6325,1.9572199830232,0.15292616803079
"Codonanthe_devosiana_N_100","bioclim",0.859107142857143,0.610357142857143,1.90616666566099,0.230935594753378
"Codonanthe_gracilis_C_010","bioclim",0.535625,0.12375,NA,0.377475247524752
"Codonanthe_gracilis_C_020","bioclim",0.842708333333333,0.68375,1.98217581309301,0.069101221794637
"Codonanthe_gracilis_C_050","bioclim",0.82890625,0.525,1.92721745507308,0.274329711509127
"Codonanthe_gracilis_C_100","bioclim",0.86075,0.654583333333333,1.90714964841337,0.230298407557295
"Codonanthe_gracilis_N_010","bioclim",0.478125,0,NA,0.5
"Codonanthe_gracilis_N_020","bioclim",0.761041666666667,0.486666666666667,1.93505467946914,0.212699221351108
"Codonanthe_gracilis_N_050","bioclim",0.855625,0.6875,1.94759662250971,0.138981896667079
"Codonanthe_gracilis_N_100","bioclim",0.858041666666667,0.632916666666667,1.90220907464,0.206737425980559
"Dichaea_cogniauxiana_C_010","bioclim",0.4325,0,NA,0.5
"Dichaea_cogniauxiana_C_020","bioclim",0.676458333333333,0.381666666666667,1.95798111101464,0.290539114838846
"Dichaea_cogniauxiana_C_050","bioclim",0.636339285714286,0.295892857142857,1.85898061727904,0.310461652368658
"Dichaea_cogniauxiana_C_100","bioclim",0.748458333333333,0.435833333333333,1.76416780920103,0.304377823719584
"Dichaea_cogniauxiana_N_010","bioclim",0.5478125,0.115,1.97909774654205,0.393518518518519
"Dichaea_cogniauxiana_N_020","bioclim",0.480208333333333,0.0575000000000001,1.86542304042642,0.473769449657928
"Dichaea_cogniauxiana_N_050","bioclim",0.624765625,0.2825,1.83691925353748,0.345778604283741
"Dichaea_cogniauxiana_N_100","bioclim",0.757544642857143,0.520714285714286,1.78040751960698,0.249679234660934
"Edmundoa_lindenii_C_010","bioclim",0.6,0.22875,1.99596036885546,0.289160720353381
"Edmundoa_lindenii_C_020","bioclim",0.646666666666667,0.29,1.93494928645543,0.365958313408519
"Edmundoa_lindenii_C_050","bioclim",0.764553571428571,0.536071428571428,1.94609533212612,0.146863346384666
"Edmundoa_lindenii_C_100","bioclim",0.826298076923077,0.615961538461538,1.91354356435214,0.16111136888401
"Edmundoa_lindenii_N_010","bioclim",0.486875,0,NA,0.5
"Edmundoa_lindenii_N_020","bioclim",0.592708333333334,0.244583333333333,1.9532490088951,0.26397209601544
"Edmundoa_lindenii_N_050","bioclim",0.707678571428571,0.403035714285714,1.90383257161468,0.304622951045194
"Edmundoa_lindenii_N_100","bioclim",0.828269230769231,0.563269230769231,1.86481388595353,0.184963345432588
"Encyclia_patens_C_010","bioclim",0.4965625,0.1025,1.94764629919235,0.435484828104601
"Encyclia_patens_C_020","bioclim",0.756458333333333,0.48625,1.89203106567116,0.238749454118514
"Encyclia_patens_C_050","bioclim",0.738671875,0.43125,1.87605537665329,0.303942195109848
"Encyclia_patens_C_100","bioclim",0.710583333333333,0.389583333333333,1.7538719185629,0.295828172633939
"Encyclia_patens_N_010","bioclim",0.405,0,NA,0.5
"Encyclia_patens_N_020","bioclim",0.700625,0.4725,1.9308219047516,0.265160559134731
"Encyclia_patens_N_050","bioclim",0.764140625,0.4675,1.8725557562834,0.292167715360295
"Encyclia_patens_N_100","bioclim",0.796583333333333,0.522916666666667,1.80289197001863,0.258230393278493
"Gomesa_ranifera_C_010","bioclim",0.515625,0.1025,1.98475349469013,0.413135593220339
"Gomesa_ranifera_C_020","bioclim",0.81921875,0.58,1.94048932028876,0.247422098449496
"Gomesa_ranifera_C_050","bioclim",0.8083125,0.54125,1.89380399146487,0.225384624705532
"Gomesa_ranifera_C_100","bioclim",0.847302631578947,0.612631578947368,1.8703274192938,0.183737153450596
"Gomesa_ranifera_N_010","bioclim",0.723125,0.37125,1.90954312490578,0.281758576279124
"Gomesa_ranifera_N_020","bioclim",0.7571875,0.525,1.98889110484326,0.0537533750375004
"Gomesa_ranifera_N_050","bioclim",0.837152777777778,0.609861111111111,1.88523885511101,0.224972241211766
"Gomesa_ranifera_N_100","bioclim",0.862565789473684,0.580263157894737,1.82990779728601,0.237691044454551
"Hatiora_salicornioides_C_010","bioclim",0.665416666666667,0.360416666666667,1.91991283009286,0.332312702625689
"Hatiora_salicornioides_C_020","bioclim",0.678,0.405,1.94930896903602,0.260779313345244
"Hatiora_salicornioides_C_050","bioclim",0.782291666666666,0.544166666666667,1.91582896114601,0.231878509349765
"Hatiora_salicornioides_C_100","bioclim",0.780989583333334,0.482083333333333,1.85528264489034,0.242096259896786
"Hatiora_salicornioides_N_010","bioclim",0.526875,0.1225,1.97255668642683,0.407140522780459
"Hatiora_salicornioides_N_020","bioclim",0.730625,0.4975,1.96333168714142,0.142736892736893
"Hatiora_salicornioides_N_050","bioclim",0.77390625,0.515416666666667,1.88581699661391,0.280516168127599
"Hatiora_salicornioides_N_100","bioclim",0.827786458333333,0.560416666666667,1.85667270841026,0.278526016346254
"Nematanthus_crassifolius_C_010","bioclim",0.4425,0,NA,0.5
"Nematanthus_crassifolius_C_020","bioclim",0.750625,0.5375,1.96931854280757,0.201953940109055
"Nematanthus_crassifolius_C_050","bioclim",0.738020833333333,0.525,1.96418877103098,0.227327288098163
"Nematanthus_crassifolius_C_100","bioclim",0.750480769230769,0.415576923076923,1.8815711437401,0.27396966503216
"Nematanthus_crassifolius_N_010","bioclim",0.526875,0.07125,NA,0.450174825174825
"Nematanthus_crassifolius_N_020","bioclim",0.500416666666667,0.156666666666666,1.95959623235877,0.298110216362294
"Nematanthus_crassifolius_N_050","bioclim",0.594895833333334,0.3125,1.96270413831595,0.348945170792144
"Nematanthus_crassifolius_N_100","bioclim",0.627307692307692,0.322403846153846,1.89752054338003,0.277986064700855
"Nidularium_innocentii_C_010","bioclim",0.708333333333333,0.41875,1.99341059256695,0.137555885690477
"Nidularium_innocentii_C_020","bioclim",0.697625,0.36625,1.9640074012296,0.261718526976877
"Nidularium_innocentii_C_050","bioclim",0.841770833333334,0.615,1.94135269257499,0.197078806694033
"Nidularium_innocentii_C_100","bioclim",0.856927083333333,0.65375,1.90711681847506,0.218115977832573
"Nidularium_innocentii_N_010","bioclim",0.65125,0.326666666666666,1.95780498124728,0.284093926519577
"Nidularium_innocentii_N_020","bioclim",0.708875,0.43125,1.97016689615176,0.21450863024995
"Nidularium_innocentii_N_050","bioclim",0.865625,0.667916666666666,1.91020109526383,0.214731020498169
"Nidularium_innocentii_N_100","bioclim",0.905597826086957,0.696576086956522,1.87746945524771,0.14811520531275
"Nidularium_procerum_C_010","bioclim",0.5296875,0.115,1.98580004075044,0.393518518518519
"Nidularium_procerum_C_020","bioclim",0.63734375,0.28125,1.96612707328665,0.297272045595026
"Nidularium_procerum_C_050","bioclim",0.821944444444445,0.537222222222222,1.90789705887861,0.196088762404021
"Nidularium_procerum_C_100","bioclim",0.814305555555556,0.566666666666667,1.90456809365354,0.2212066342338
"Nidularium_procerum_N_010","bioclim",0.5315625,0.1025,1.98930989854946,0.413135593220339
"Nidularium_procerum_N_020","bioclim",0.7596875,0.52125,1.99041328464287,0.0594205908312132
"Nidularium_procerum_N_050","bioclim",0.818888888888889,0.548194444444445,1.90232634591222,0.161431450879249
"Nidularium_procerum_N_100","bioclim",0.875902777777777,0.68375,1.89232215710062,0.177560844646566
"Peperomia_tetraphylla_C_010","bioclim",0.760520833333333,0.494166666666667,1.89915780835864,0.182921713971592
"Peperomia_tetraphylla_C_020","bioclim",0.75359375,0.48125,1.88249150004056,0.224023168899672
"Peperomia_tetraphylla_C_050","bioclim",0.835758928571429,0.591964285714285,1.85623889726657,0.228644347557514
"Peperomia_tetraphylla_C_100","bioclim",0.829888392857143,0.553928571428572,1.74091031396569,0.245795876311342
"Peperomia_tetraphylla_N_010","bioclim",0.718020833333334,0.467916666666667,1.91476446583297,0.229657752768949
"Peperomia_tetraphylla_N_020","bioclim",0.74640625,0.433333333333333,1.82441420949837,0.271686384662745
"Peperomia_tetraphylla_N_050","bioclim",0.774642857142857,0.481785714285715,1.72346348260829,0.271095271384931
"Peperomia_tetraphylla_N_100","bioclim",0.835736607142857,0.562678571428571,1.75562698349515,0.250463401296806
"Pleiochiton_blepharodes_C_010","bioclim",0.5675,0.19125,1.96575864884123,0.344816272965879
"Pleiochiton_blepharodes_C_020","bioclim",0.7075,0.43375,1.9851450041671,0.13891092578618
"Pleiochiton_blepharodes_C_050","bioclim",0.740486111111111,0.427361111111111,1.84671247991639,0.199447412115754
"Pleiochiton_blepharodes_C_100","bioclim",0.766805555555556,0.450416666666667,1.8360511299945,0.297766169617237
"Pleiochiton_blepharodes_N_010","bioclim",0.5684375,0.19125,1.98068141103046,0.342193897767798
"Pleiochiton_blepharodes_N_020","bioclim",0.8034375,0.5575,1.90947568213336,0.264074702456642
"Pleiochiton_blepharodes_N_050","bioclim",0.802708333333333,0.584305555555556,1.91272125938729,0.210990921698371
"Pleiochiton_blepharodes_N_100","bioclim",0.769479166666666,0.474027777777777,1.81384676197198,0.28148479017011
"Rhipsalis_elliptica_C_010","bioclim",0.48375,0,NA,0.5
"Rhipsalis_elliptica_C_020","bioclim",0.6903125,0.3425,1.93647284569272,0.188349662033872
"Rhipsalis_elliptica_C_050","bioclim",0.7065625,0.42,1.92573108961517,0.30277387073176
"Rhipsalis_elliptica_C_100","bioclim",0.686,0.371666666666667,1.82246571370132,0.286255101230525
"Rhipsalis_elliptica_N_010","bioclim",0.4825,0,NA,0.5
"Rhipsalis_elliptica_N_020","bioclim",0.602083333333334,0.295416666666667,1.95244917582329,0.305646501397301
"Rhipsalis_elliptica_N_050","bioclim",0.700546875,0.355,1.8454148941352,0.288800035770784
"Rhipsalis_elliptica_N_100","bioclim",0.726625,0.414166666666666,1.83186107920018,0.315371669728933
"Rhipsalis_lindbergiana_C_010","bioclim",0.549375,0.11625,1.99489187119238,0.391355140186916
"Rhipsalis_lindbergiana_C_020","bioclim",0.644583333333334,0.3475,1.92479701410372,0.305989836938474
"Rhipsalis_lindbergiana_C_050","bioclim",0.721875,0.497916666666666,1.84720857075679,0.314757270799725
"Rhipsalis_lindbergiana_C_100","bioclim",0.725625,0.510833333333333,1.81512929924174,0.297067488282619
"Rhipsalis_lindbergiana_N_010","bioclim",0.475,0,NA,0.5
"Rhipsalis_lindbergiana_N_020","bioclim",0.544166666666666,0.14125,1.91049465955824,0.365121206500492
"Rhipsalis_lindbergiana_N_050","bioclim",0.702604166666666,0.49875,1.8578287792108,0.301245633628296
"Rhipsalis_lindbergiana_N_100","bioclim",0.815913461538462,0.600865384615385,1.82744039389156,0.23820026442716
"Rhipsalis_pachyptera_C_010","bioclim",0.499375,0,NA,0.5
"Rhipsalis_pachyptera_C_020","bioclim",0.72625,0.4375,1.97470656030738,0.244034828006532
"Rhipsalis_pachyptera_C_050","bioclim",0.729479166666667,0.432083333333333,1.96745583507903,0.175212944754498
"Rhipsalis_pachyptera_C_100","bioclim",0.790397727272727,0.565454545454545,1.94465138993625,0.225667352496501
"Rhipsalis_pachyptera_N_010","bioclim",0.495,0,NA,0.5
"Rhipsalis_pachyptera_N_020","bioclim",0.649583333333334,0.34,1.9744726125099,0.221690196657534
"Rhipsalis_pachyptera_N_050","bioclim",0.754895833333334,0.4825,1.94541894995887,0.265887356682811
"Rhipsalis_pachyptera_N_100","bioclim",0.823693181818182,0.553409090909091,1.9153002590019,0.241750566901799
"Rhipsalis_teres_C_010","bioclim",0.703958333333333,0.475416666666666,1.97036550453071,0.218233514144848
"Rhipsalis_teres_C_020","bioclim",0.7790625,0.527916666666667,1.90332243344945,0.253247908737746
"Rhipsalis_teres_C_050","bioclim",0.782208333333333,0.464583333333333,1.86307396760156,0.252396994207006
"Rhipsalis_teres_C_100","bioclim",0.778943965517241,0.486724137931034,1.82843542628547,0.27967651117439
"Rhipsalis_teres_N_010","bioclim",0.464791666666667,0.0824999999999999,1.95277732914216,0.396667299692727
"Rhipsalis_teres_N_020","bioclim",0.703125,0.390833333333333,1.93963219452112,0.242894407465489
"Rhipsalis_teres_N_050","bioclim",0.700357142857143,0.429821428571429,1.78494860128685,0.258671135440133
"Rhipsalis_teres_N_100","bioclim",0.800892857142857,0.495357142857143,1.71037241489998,0.2855620455768
"Vriesea_ensiformis_C_010","bioclim",0.6175,0.24,1.99518806261593,0.26918631530282
"Vriesea_ensiformis_C_020","bioclim",0.646875,0.334166666666667,1.96743684697773,0.252065566356997
"Vriesea_ensiformis_C_050","bioclim",0.861953125,0.725,1.95848504473052,0.0981050964646802
"Vriesea_ensiformis_C_100","bioclim",0.869,0.68,1.87157088201616,0.195249931403168
"Vriesea_ensiformis_N_010","bioclim",0.615625,0.2375,1.99780599499479,0.386904761904762
"Vriesea_ensiformis_N_020","bioclim",0.748541666666667,0.515833333333333,1.96208524054407,0.20269921185821
"Vriesea_ensiformis_N_050","bioclim",0.859453125,0.6975,1.90193611604943,0.168682133223295
"Vriesea_ensiformis_N_100","bioclim",0.854166666666667,0.68,1.88649991588884,0.165564288495981
"Vriesea_flammea_C_010","bioclim",0.624375,0.24875,NA,0.252475247524752
"Vriesea_flammea_C_020","bioclim",0.691041666666667,0.392916666666666,1.9947713620419,0.0578485612720886
"Vriesea_flammea_C_050","bioclim",0.818125,0.627916666666666,1.98359884172079,0.0607278033920551
"Vriesea_flammea_C_100","bioclim",0.795,0.585416666666667,1.98254829615496,0.105209770851513
"Vriesea_flammea_N_010","bioclim",0.621875,0.24375,1.99697830095852,0.262183514182372
"Vriesea_flammea_N_020","bioclim",0.645208333333333,0.280416666666666,1.99044962196328,0.317338060485219
"Vriesea_flammea_N_050","bioclim",0.792916666666667,0.557916666666667,1.97401218965892,0.126432793665232
"Vriesea_flammea_N_100","bioclim",0.849635416666667,0.6275,1.92549566724655,0.179809009930551
"Vriesea_friburgensis_C_010","bioclim",0.5321875,0.12125,NA,0.382281553398058
"Vriesea_friburgensis_C_020","bioclim",0.579791666666666,0.247083333333333,1.93527707462944,0.285156103198166
"Vriesea_friburgensis_C_050","bioclim",0.69609375,0.3925,1.90469709907997,0.227720675158571
"Vriesea_friburgensis_C_100","bioclim",0.769125,0.477083333333333,1.79481313788031,0.22972720300434
"Vriesea_friburgensis_N_010","bioclim",0.4875,0,NA,0.5
"Vriesea_friburgensis_N_020","bioclim",0.707916666666667,0.400833333333333,1.92634392378684,0.251383097229845
"Vriesea_friburgensis_N_050","bioclim",0.791484375,0.6075,1.90580041734645,0.181678271081503
"Vriesea_friburgensis_N_100","bioclim",0.7937890625,0.53625,1.78519192957728,0.229247631035699
"Vriesea_incurvata_C_010","bioclim",0.688541666666666,0.439583333333333,1.98790936148235,0.272371381400581
"Vriesea_incurvata_C_020","bioclim",0.6621875,0.29625,1.9726576443835,0.232555463182951
