"sp","algo","M1","M2","good","bad","total","mod"
"Edmundoa_lindenii_N_010","maxent",0.157,1.50961538461538,157,104,1000,"raw_mean"
"Edmundoa_lindenii_N_010","rf",0.053,0.473214285714286,53,112,1000,"raw_mean"
"Edmundoa_lindenii_N_010","svmk",0.134,1.14529914529915,134,117,1000,"raw_mean"
"Edmundoa_lindenii_N_020","bioclim",0.104,0.169381107491857,104,614,1000,"raw_mean"
"Edmundoa_lindenii_N_020","glm",0.176,1.02923976608187,176,171,1000,"raw_mean"
"Edmundoa_lindenii_N_020","maxent",0.172,2.56716417910448,172,67,1000,"raw_mean"
"Edmundoa_lindenii_N_020","rf",0.102,0.772727272727273,102,132,1000,"raw_mean"
"Edmundoa_lindenii_N_020","svmk",0.126,1.14545454545455,126,110,1000,"raw_mean"
"Edmundoa_lindenii_N_050","bioclim",0.462,3,462,154,1000,"raw_mean"
"Edmundoa_lindenii_N_050","glm",0.144,0.827586206896552,144,174,1000,"raw_mean"
"Edmundoa_lindenii_N_050","maxent",0.207,1.38,207,150,1000,"raw_mean"
"Edmundoa_lindenii_N_050","rf",0.179,1.52991452991453,179,117,1000,"raw_mean"
"Edmundoa_lindenii_N_050","svmk",0.146,0.776595744680851,146,188,1000,"raw_mean"
"Edmundoa_lindenii_N_100","bioclim",0.242,1.29411764705882,242,187,1000,"raw_mean"
"Edmundoa_lindenii_N_100","glm",0.18,0.989010989010989,180,182,1000,"raw_mean"
"Edmundoa_lindenii_N_100","maxent",0.236,1.58389261744966,236,149,1000,"raw_mean"
"Edmundoa_lindenii_N_100","rf",0.196,2.57894736842105,196,76,1000,"raw_mean"
"Edmundoa_lindenii_N_100","svmk",0.119,0.734567901234568,119,162,1000,"raw_mean"
"Encyclia_patens_C_010","bioclim",0.372,0.597110754414125,372,623,1000,"raw_mean"
"Encyclia_patens_C_010","glm",0.027,0.114406779661017,27,236,1000,"raw_mean"
"Encyclia_patens_C_010","maxent",0.039,0.165254237288136,39,236,1000,"raw_mean"
"Encyclia_patens_C_010","rf",0.144,1.24137931034483,144,116,1000,"raw_mean"
"Encyclia_patens_C_010","svmk",0.128,0.691891891891892,128,185,1000,"raw_mean"
"Encyclia_patens_C_020","bioclim",0.359,2.91869918699187,359,123,1000,"raw_mean"
"Encyclia_patens_C_020","glm",0.011,0.0472103004291846,11,233,1000,"raw_mean"
"Encyclia_patens_C_020","maxent",0.189,2.03225806451613,189,93,1000,"raw_mean"
"Encyclia_patens_C_020","rf",0.143,1.98611111111111,143,72,1000,"raw_mean"
"Encyclia_patens_C_020","svmk",0.12,0.727272727272727,120,165,1000,"raw_mean"
"Encyclia_patens_C_050","bioclim",0.177,0.665413533834586,177,266,1000,"raw_mean"
"Encyclia_patens_C_050","glm",0.188,0.964102564102564,188,195,1000,"raw_mean"
"Encyclia_patens_C_050","maxent",0.197,1.66949152542373,197,118,1000,"raw_mean"
"Encyclia_patens_C_050","rf",0.184,2.70588235294118,184,68,1000,"raw_mean"
"Encyclia_patens_C_050","svmk",0.125,0.637755102040816,125,196,1000,"raw_mean"
"Encyclia_patens_C_100","bioclim",0.2,1.23456790123457,200,162,1000,"raw_mean"
"Encyclia_patens_C_100","glm",0.14,0.773480662983425,140,181,1000,"raw_mean"
"Encyclia_patens_C_100","maxent",0.216,1.78512396694215,216,121,1000,"raw_mean"
"Encyclia_patens_C_100","rf",0.2,4.54545454545455,200,44,1000,"raw_mean"
"Encyclia_patens_C_100","svmk",0.148,0.907975460122699,148,163,1000,"raw_mean"
"Encyclia_patens_N_010","bioclim",0.185,0.426267281105991,185,434,1000,"raw_mean"
"Encyclia_patens_N_010","maxent",0,0,0,250,1000,"raw_mean"
"Encyclia_patens_N_010","rf",0.148,1.55789473684211,148,95,1000,"raw_mean"
"Encyclia_patens_N_010","svmk",0.127,0.577272727272727,127,220,1000,"raw_mean"
"Encyclia_patens_N_020","bioclim",0.25,0.819672131147541,250,305,1000,"raw_mean"
"Encyclia_patens_N_020","glm",0,0,0,250,1000,"raw_mean"
"Encyclia_patens_N_020","maxent",0.162,1.76086956521739,162,92,1000,"raw_mean"
"Encyclia_patens_N_020","rf",0.109,1.02830188679245,109,106,1000,"raw_mean"
"Encyclia_patens_N_020","svmk",0.144,0.888888888888889,144,162,1000,"raw_mean"
"Encyclia_patens_N_050","bioclim",0.172,1.01176470588235,172,170,1000,"raw_mean"
"Encyclia_patens_N_050","glm",0.136,0.715789473684211,136,190,1000,"raw_mean"
"Encyclia_patens_N_050","maxent",0.213,2.1734693877551,213,98,1000,"raw_mean"
"Encyclia_patens_N_050","rf",0.176,2.02298850574713,176,87,1000,"raw_mean"
"Encyclia_patens_N_050","svmk",0.137,0.724867724867725,137,189,1000,"raw_mean"
"Encyclia_patens_N_100","bioclim",0.127,0.679144385026738,127,187,1000,"raw_mean"
"Encyclia_patens_N_100","glm",0.081,0.47093023255814,81,172,1000,"raw_mean"
"Encyclia_patens_N_100","maxent",0.209,1.84955752212389,209,113,1000,"raw_mean"
"Encyclia_patens_N_100","rf",0.198,2.71232876712329,198,73,1000,"raw_mean"
"Encyclia_patens_N_100","svmk",0.108,0.519230769230769,108,208,1000,"raw_mean"
"Gomesa_ranifera_C_010","bioclim",0.017,0.0349075975359343,17,487,1000,"raw_mean"
"Gomesa_ranifera_C_010","glm",0.241,1.10045662100457,241,219,1000,"raw_mean"
"Gomesa_ranifera_C_010","maxent",0.176,1.41935483870968,176,124,1000,"raw_mean"
"Gomesa_ranifera_C_010","rf",0.145,1.70588235294118,145,85,1000,"raw_mean"
"Gomesa_ranifera_C_010","svmk",0.076,0.633333333333333,76,120,1000,"raw_mean"
"Gomesa_ranifera_C_020","bioclim",0.123,0.254658385093168,123,483,1000,"raw_mean"
"Gomesa_ranifera_C_020","glm",0.177,0.988826815642458,177,179,1000,"raw_mean"
"Gomesa_ranifera_C_020","maxent",0.158,1.1969696969697,158,132,1000,"raw_mean"
"Gomesa_ranifera_C_020","rf",0.173,2.08433734939759,173,83,1000,"raw_mean"
"Gomesa_ranifera_C_020","svmk",0.146,0.839080459770115,146,174,1000,"raw_mean"
"Gomesa_ranifera_C_050","bioclim",0.173,0.752173913043478,173,230,1000,"raw_mean"
"Gomesa_ranifera_C_050","glm",0.225,1.125,225,200,1000,"raw_mean"
"Gomesa_ranifera_C_050","maxent",0.228,1.58333333333333,228,144,1000,"raw_mean"
"Gomesa_ranifera_C_050","rf",0.211,2.26881720430108,211,93,1000,"raw_mean"
"Gomesa_ranifera_C_050","svmk",0.142,0.850299401197605,142,167,1000,"raw_mean"
"Gomesa_ranifera_C_100","bioclim",0.076,0.149606299212598,76,508,1000,"raw_mean"
"Gomesa_ranifera_C_100","glm",0.217,1.13020833333333,217,192,1000,"raw_mean"
"Gomesa_ranifera_C_100","maxent",0.192,1.4014598540146,192,137,1000,"raw_mean"
"Gomesa_ranifera_C_100","rf",0.207,2.91549295774648,207,71,1000,"raw_mean"
"Gomesa_ranifera_C_100","svmk",0.134,0.797619047619048,134,168,1000,"raw_mean"
"Gomesa_ranifera_N_010","bioclim",0.053,0.0559662090813094,53,947,1000,"raw_mean"
"Gomesa_ranifera_N_010","glm",0.185,0.893719806763285,185,207,1000,"raw_mean"
"Gomesa_ranifera_N_010","maxent",0.126,1.29896907216495,126,97,1000,"raw_mean"
"Gomesa_ranifera_N_010","rf",0.215,1.79166666666667,215,120,1000,"raw_mean"
"Gomesa_ranifera_N_010","svmk",0.157,0.969135802469136,157,162,1000,"raw_mean"
"Gomesa_ranifera_N_020","bioclim",0.03,0.0390117035110533,30,769,1000,"raw_mean"
"Gomesa_ranifera_N_020","glm",0.207,0.976415094339623,207,212,1000,"raw_mean"
"Gomesa_ranifera_N_020","maxent",0.175,1,175,175,1000,"raw_mean"
"Gomesa_ranifera_N_020","rf",0.195,2.78571428571429,195,70,1000,"raw_mean"
"Gomesa_ranifera_N_020","svmk",0.071,0.425149700598802,71,167,1000,"raw_mean"
"Gomesa_ranifera_N_050","bioclim",0.476,3.5,476,136,1000,"raw_mean"
"Gomesa_ranifera_N_050","glm",0.232,1.18367346938776,232,196,1000,"raw_mean"
"Gomesa_ranifera_N_050","maxent",0.23,1.26373626373626,230,182,1000,"raw_mean"
"Gomesa_ranifera_N_050","rf",0.227,3.43939393939394,227,66,1000,"raw_mean"
"Gomesa_ranifera_N_050","svmk",0.094,0.666666666666667,94,141,1000,"raw_mean"
"Gomesa_ranifera_N_100","bioclim",0.258,1.42541436464088,258,181,1000,"raw_mean"
"Gomesa_ranifera_N_100","glm",0.214,1.05418719211823,214,203,1000,"raw_mean"
"Gomesa_ranifera_N_100","maxent",0.216,1.22727272727273,216,176,1000,"raw_mean"
"Gomesa_ranifera_N_100","rf",0.214,3.6271186440678,214,59,1000,"raw_mean"
"Gomesa_ranifera_N_100","svmk",0.107,0.569148936170213,107,188,1000,"raw_mean"
"Hatiora_salicornioides_C_010","bioclim",0.161,0.191895113230036,161,839,1000,"raw_mean"
"Hatiora_salicornioides_C_010","glm",0.231,1.22872340425532,231,188,1000,"raw_mean"
"Hatiora_salicornioides_C_010","maxent",0.18,1.48760330578512,180,121,1000,"raw_mean"
"Hatiora_salicornioides_C_010","rf",0.112,1.20430107526882,112,93,1000,"raw_mean"
"Hatiora_salicornioides_C_010","svmk",0.162,1.25581395348837,162,129,1000,"raw_mean"
"Hatiora_salicornioides_C_020","bioclim",0.183,1.27972027972028,183,143,1000,"raw_mean"
"Hatiora_salicornioides_C_020","glm",0.186,1.08139534883721,186,172,1000,"raw_mean"
"Hatiora_salicornioides_C_020","maxent",0.194,1.41605839416058,194,137,1000,"raw_mean"
