"treatment","genus","epithet","clump","size","treatment1","algorithm","AUC","TSS","pROC","omission","M1","M2","good","bad","total","mod","M3"
"Aechmea_nudicaulis_N_100","Aechmea","nudicaulis","N","100","Aechmea_nudicaulis_N_100","bioclim",0.738693181818182,0.413674242424242,1.66518850818114,0.302161398332048,0.255,1.875,255,136,1000,"raw_mean",0.652173913043478
"Aechmea_nudicaulis_N_100","Aechmea","nudicaulis","N","100","Aechmea_nudicaulis_N_100","glm",0.769507575757576,0.491704545454546,1.1743757410804,0.160144744593117,0.205,1.025,205,200,1000,"raw_mean",0.506172839506173
"Aechmea_nudicaulis_N_100","Aechmea","nudicaulis","N","100","Aechmea_nudicaulis_N_100","maxent",0.874810606060606,0.614810606060606,1.53960277716977,0.212781619860984,0.2,2.1505376344086,200,93,1000,"raw_mean",0.68259385665529
"Aechmea_nudicaulis_N_100","Aechmea","nudicaulis","N","100","Aechmea_nudicaulis_N_100","rf",0.879015151515152,0.692916666666667,1.31934975631406,0.195651189551558,0.193,2.60810810810811,193,74,1000,"raw_mean",0.722846441947566
"Aechmea_nudicaulis_N_100","Aechmea","nudicaulis","N","100","Aechmea_nudicaulis_N_100","svmk",0.851780303030303,0.60905303030303,1.0823022150314,0.176016219105422,0.073,0.359605911330049,73,203,1000,"raw_mean",0.264492753623188
"Billbergia_amoena_C_010","Billbergia","amoena","C","010","Billbergia_amoena_C_010","bioclim",0.563125,0.178333333333333,1.94223220448923,0.368225591999925,0.019,0.0216400911161731,19,878,1000,"raw_mean",0.0211817168338907
"Billbergia_amoena_C_010","Billbergia","amoena","C","010","Billbergia_amoena_C_010","glm",0.681666666666667,0.48875,1.39743763523217,NA,0.189,1.09883720930233,189,172,1000,"raw_mean",0.523545706371191
"Billbergia_amoena_C_010","Billbergia","amoena","C","010","Billbergia_amoena_C_010","maxent",0.691666666666667,0.555,1.44419689044789,0.302154197391105,0.16,1.08843537414966,160,147,1000,"raw_mean",0.521172638436482
"Billbergia_amoena_C_010","Billbergia","amoena","C","010","Billbergia_amoena_C_010","rf",0.52625,0.347916666666666,1.24873563362488,0.273415450256039,0.129,1.17272727272727,129,110,1000,"raw_mean",0.539748953974895
"Billbergia_amoena_C_010","Billbergia","amoena","C","010","Billbergia_amoena_C_010","svmk",0.522916666666667,0.299583333333333,1.30119083535532,0.328280358602718,0.168,0.954545454545455,168,176,1000,"raw_mean",0.488372093023256
"Billbergia_amoena_C_020","Billbergia","amoena","C","020","Billbergia_amoena_C_020","bioclim",0.71453125,0.36625,1.91203402571897,0.239975699786957,0.298,3.59036144578313,298,83,1000,"raw_mean",0.782152230971129
"Billbergia_amoena_C_020","Billbergia","amoena","C","020","Billbergia_amoena_C_020","glm",0.47625,0.11875,1.23062742636027,NA,0.045,0.248618784530387,45,181,1000,"raw_mean",0.199115044247788
"Billbergia_amoena_C_020","Billbergia","amoena","C","020","Billbergia_amoena_C_020","maxent",0.7421875,0.50875,1.8204097991499,0.305988568879221,0.199,2.84285714285714,199,70,1000,"raw_mean",0.739776951672863
"Billbergia_amoena_C_020","Billbergia","amoena","C","020","Billbergia_amoena_C_020","rf",0.578125,0.34875,1.30438793127219,0.331765667039113,0.2,4.44444444444444,200,45,1000,"raw_mean",0.816326530612245
"Billbergia_amoena_C_020","Billbergia","amoena","C","020","Billbergia_amoena_C_020","svmk",0.5559375,0.35875,1.14168644465776,0.300556561315048,0.141,0.708542713567839,141,199,1000,"raw_mean",0.414705882352941
"Billbergia_amoena_C_050","Billbergia","amoena","C","050","Billbergia_amoena_C_050","bioclim",0.6804375,0.3825,1.83330913618665,0.329194777757823,0.31,2.21428571428571,310,140,1000,"raw_mean",0.688888888888889
"Billbergia_amoena_C_050","Billbergia","amoena","C","050","Billbergia_amoena_C_050","glm",0.6475,0.38,1.31264432924768,NA,0.091,0.7,91,130,1000,"raw_mean",0.411764705882353
"Billbergia_amoena_C_050","Billbergia","amoena","C","050","Billbergia_amoena_C_050","maxent",0.809125,0.57,1.60135561183807,0.243797235834218,0.197,3.28333333333333,197,60,1000,"raw_mean",0.766536964980545
"Billbergia_amoena_C_050","Billbergia","amoena","C","050","Billbergia_amoena_C_050","rf",0.735125,0.48,1.29688551853946,0.301115802708306,0.197,2.21348314606742,197,89,1000,"raw_mean",0.688811188811189
"Billbergia_amoena_C_050","Billbergia","amoena","C","050","Billbergia_amoena_C_050","svmk",0.672125,0.37125,1.05464315884496,0.261511212470701,0.1,0.505050505050505,100,198,1000,"raw_mean",0.335570469798658
"Billbergia_amoena_C_100","Billbergia","amoena","C","100","Billbergia_amoena_C_100","bioclim",0.6695625,0.3575,1.77477004267765,0.370857561045535,0.306,1.66304347826087,306,184,1000,"raw_mean",0.624489795918367
"Billbergia_amoena_C_100","Billbergia","amoena","C","100","Billbergia_amoena_C_100","glm",0.7893125,0.49875,1.24829315538585,0,0.147,0.896341463414634,147,164,1000,"raw_mean",0.472668810289389
"Billbergia_amoena_C_100","Billbergia","amoena","C","100","Billbergia_amoena_C_100","maxent",0.8475625,0.61375,1.54228141086575,0.203312705152624,0.211,1.8034188034188,211,117,1000,"raw_mean",0.643292682926829
"Billbergia_amoena_C_100","Billbergia","amoena","C","100","Billbergia_amoena_C_100","rf",0.8564375,0.6425,1.30384751872091,0.20040224378169,0.192,2.23255813953488,192,86,1000,"raw_mean",0.690647482014389
"Billbergia_amoena_C_100","Billbergia","amoena","C","100","Billbergia_amoena_C_100","svmk",0.848375,0.6525,1.06606906737093,0.141967324315872,0.062,0.300970873786408,62,206,1000,"raw_mean",0.23134328358209
"Billbergia_amoena_N_010","Billbergia","amoena","N","010","Billbergia_amoena_N_010","bioclim",0.63625,0.29,1.85443371045343,0.323327452004253,0.05,0.0526315789473684,50,950,1000,"raw_mean",0.05
"Billbergia_amoena_N_010","Billbergia","amoena","N","010","Billbergia_amoena_N_010","glm",0.625625,0.49875,1.41848195300525,NA,0.149,0.733990147783251,149,203,1000,"raw_mean",0.423295454545455
"Billbergia_amoena_N_010","Billbergia","amoena","N","010","Billbergia_amoena_N_010","maxent",0.64,0.5175,1.42100204389176,0.19291494237196,0.139,1.25225225225225,139,111,1000,"raw_mean",0.556
"Billbergia_amoena_N_010","Billbergia","amoena","N","010","Billbergia_amoena_N_010","rf",0.71375,0.645,1.63895917346691,0.105662041016983,0.134,1.86111111111111,134,72,1000,"raw_mean",0.650485436893204
"Billbergia_amoena_N_010","Billbergia","amoena","N","010","Billbergia_amoena_N_010","svmk",0.70625,0.5025,1.52261488254141,0.221248133755742,0.152,1.04827586206897,152,145,1000,"raw_mean",0.511784511784512
"Billbergia_amoena_N_020","Billbergia","amoena","N","020","Billbergia_amoena_N_020","bioclim",0.7328125,0.48125,1.90526959181756,0.299655604934216,0.524,2.18333333333333,524,240,1000,"raw_mean",0.68586387434555
"Billbergia_amoena_N_020","Billbergia","amoena","N","020","Billbergia_amoena_N_020","glm",0.7184375,0.53625,1.36191553387654,NA,0.177,0.936507936507937,177,189,1000,"raw_mean",0.483606557377049
"Billbergia_amoena_N_020","Billbergia","amoena","N","020","Billbergia_amoena_N_020","maxent",0.7946875,0.59625,1.75341246940273,0.149483492819093,0.184,1.65765765765766,184,111,1000,"raw_mean",0.623728813559322
"Billbergia_amoena_N_020","Billbergia","amoena","N","020","Billbergia_amoena_N_020","rf",0.756875,0.54875,1.55044726274654,0.238015186781849,0.136,1.30769230769231,136,104,1000,"raw_mean",0.566666666666667
"Billbergia_amoena_N_020","Billbergia","amoena","N","020","Billbergia_amoena_N_020","svmk",0.6484375,0.5,1.31998473493421,0.0832481641305171,0.15,0.688073394495413,150,218,1000,"raw_mean",0.407608695652174
"Billbergia_amoena_N_050","Billbergia","amoena","N","050","Billbergia_amoena_N_050","bioclim",0.6761875,0.36875,1.85749370520915,0.361039448437699,0.262,1.65822784810127,262,158,1000,"raw_mean",0.623809523809524
"Billbergia_amoena_N_050","Billbergia","amoena","N","050","Billbergia_amoena_N_050","glm",0.68725,0.39125,1.29391341896726,NA,0.189,0.979274611398964,189,193,1000,"raw_mean",0.494764397905759
"Billbergia_amoena_N_050","Billbergia","amoena","N","050","Billbergia_amoena_N_050","maxent",0.802125,0.58125,1.59134658319709,0.262568991580463,0.201,3.79245283018868,201,53,1000,"raw_mean",0.791338582677165
"Billbergia_amoena_N_050","Billbergia","amoena","N","050","Billbergia_amoena_N_050","rf",0.75375,0.5175,1.36470818818945,0.252899925087771,0.184,2.2716049382716,184,81,1000,"raw_mean",0.694339622641509
"Billbergia_amoena_N_050","Billbergia","amoena","N","050","Billbergia_amoena_N_050","svmk",0.62075,0.31625,1.0456450838367,0.302113966014828,0.117,0.6,117,195,1000,"raw_mean",0.375
"Billbergia_amoena_N_100","Billbergia","amoena","N","100","Billbergia_amoena_N_100","bioclim",0.6981875,0.40375,1.8184495682228,0.347521307237468,0.236,2.56521739130435,236,92,1000,"raw_mean",0.719512195121951
"Billbergia_amoena_N_100","Billbergia","amoena","N","100","Billbergia_amoena_N_100","glm",0.73225,0.43875,1.22284947194082,0.440559440559441,0.163,1.0251572327044,163,159,1000,"raw_mean",0.506211180124224
"Billbergia_amoena_N_100","Billbergia","amoena","N","100","Billbergia_amoena_N_100","maxent",0.799,0.53375,1.36437998219047,0.282600761417597,0.217,2.06666666666667,217,105,1000,"raw_mean",0.673913043478261
"Billbergia_amoena_N_100","Billbergia","amoena","N","100","Billbergia_amoena_N_100","rf",0.812125,0.53875,1.26273067425097,0.242694583418003,0.207,2.5875,207,80,1000,"raw_mean",0.721254355400697
"Billbergia_amoena_N_100","Billbergia","amoena","N","100","Billbergia_amoena_N_100","svmk",0.733,0.4075,1.04112997458471,0.247374261349416,0.075,0.376884422110553,75,199,1000,"raw_mean",0.273722627737226
"Billbergia_distachia_C_010","Billbergia","distachia","C","010","Billbergia_distachia_C_010","bioclim",0.476875,0.12625,1.95691756693681,0.393095874713522,0.144,0.168224299065421,144,856,1000,"raw_mean",0.144
"Billbergia_distachia_C_010","Billbergia","distachia","C","010","Billbergia_distachia_C_010","glm",0.49875,0.1075,1.40868937689508,NA,0.108,0.432,108,250,1000,"raw_mean",0.301675977653631
"Billbergia_distachia_C_010","Billbergia","distachia","C","010","Billbergia_distachia_C_010","maxent",0.50625,0.24,1.44209376860961,0.268830387711668,0.126,0.516393442622951,126,244,1000,"raw_mean",0.340540540540541
"Billbergia_distachia_C_010","Billbergia","distachia","C","010","Billbergia_distachia_C_010","rf",0.4946875,0.35,1.37713008786518,0.263949634251771,0.12,0.975609756097561,120,123,1000,"raw_mean",0.493827160493827
"Billbergia_distachia_C_010","Billbergia","distachia","C","010","Billbergia_distachia_C_010","svmk",0.43,0.30625,1.14600717742292,0.295065714615766,0.202,1.46376811594203,202,138,1000,"raw_mean",0.594117647058824
"Billbergia_distachia_C_020","Billbergia","distachia","C","020","Billbergia_distachia_C_020","bioclim",0.55859375,0.14,1.95930211882317,0.375440917107584,0.19,0.466830466830467,190,407,1000,"raw_mean",0.318257956448911
"Billbergia_distachia_C_020","Billbergia","distachia","C","020","Billbergia_distachia_C_020","glm",0.5,0.07375,1.41140073734949,NA,0.141,0.564,141,250,1000,"raw_mean",0.360613810741688
"Billbergia_distachia_C_020","Billbergia","distachia","C","020","Billbergia_distachia_C_020","maxent",0.686875,0.415,1.57230460298309,0.356464613817555,0.199,1.7008547008547,199,117,1000,"raw_mean",0.629746835443038
